timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
436516344,57062.547,140.75316,44,108583,3611,65536,0,3,127
437517380,57208.133,140.76468,44,108831,5162,65536,0,3,127
438518411,57357.83,140.78625,44,109079,2726,65536,0,3,127
439519347,57502.055,140.79436,44,109325,5472,65536,0,3,127
440520653,57651.742,140.81563,44,109573,3154,65536,0,3,127
441521345,57796.273,140.82445,44,109819,5396,65536,0,3,127
442522389,57945.582,140.84471,44,110067,3556,65536,0,3,127
446526344,58158.9,140.00069,49,111055,2726,65536,0,3,127
447527415,58304.0,140.01259,49,111303,5017,65536,0,3,127
448528353,58454.086,140.0364,49,111549,1736,65536,0,3,127
449529360,58600.72,140.05183,49,111797,2673,65536,0,3,127
450530347,58748.305,140.06946,49,112043,1665,65536,0,3,127
451531373,58893.05,140.08025,49,112291,4464,65536,0,3,127
452532392,59038.5,140.09264,49,112539,6257,65536,0,3,127
453533417,59189.07,140.11711,49,112785,2712,65536,0,3,127
454534352,59336.438,140.13393,49,113033,2449,65536,0,3,127
455535344,59481.17,140.14442,49,113279,4699,65536,0,3,127
456536358,59629.3,140.16287,49,113527,3902,65536,0,3,127
457537381,59776.0,140.17786,49,113773,4185,65536,0,3,127
458538376,59925.234,140.19872,49,114021,1816,65536,0,3,127
459539898,60068.625,140.20567,49,114269,6268,65536,0,3,127
460540346,60216.156,140.2226,49,114515,5204,65536,0,3,127
461541378,60364.223,140.24048,49,114763,4183,65536,0,3,127
462542412,60509.777,140.25246,49,115009,6266,65536,0,3,127
463543357,60659.79,140.27472,49,115257,3299,65536,0,3,127
464544344,60804.04,140.28357,49,115503,5551,65536,0,3,127
465545355,60954.277,140.30615,49,115751,3034,65536,0,3,127
466546374,61101.1,140.32079,49,115999,3328,65536,0,3,127
467547401,61248.0,140.33554,49,116245,3309,65536,0,3,127
468548350,61393.227,140.34642,49,116493,5473,65536,0,3,127
469549371,61543.375,140.36844,49,116739,2138,65536,0,3,127
470550350,61689.39,140.38098,49,116987,3258,65536,0,3,127
471551454,61837.35,140.39784,49,117234,2866,65536,0,3,127
472552381,61982.35,140.40797,49,117481,4573,65536,0,3,127
473553357,62128.797,140.4213,49,117729,5666,65536,0,3,127
474554344,62276.355,140.43709,49,117975,4653,65536,0,3,127
475555359,62426.04,140.45758,49,118223,2471,65536,0,3,127
476556385,62570.64,140.46655,49,118469,4832,65536,0,3,127
477557427,62720.0,140.48615,49,118717,2765,65536,0,3,127
478558549,62865.688,140.4974,49,118965,4183,65536,0,3,127
479559346,63014.465,140.51562,49,119211,2290,65536,0,3,127
480560353,63161.95,140.53082,49,119459,2038,65536,0,3,127
481561352,63309.29,140.54561,49,119705,2057,65536,0,3,127
483563344,63545.65,140.44614,53,120199,3708,65536,0,3,127
484564344,63692.77,140.46056,53,120447,3749,65536,0,3,127
485565377,63841.59,140.47864,53,120695,1958,65536,0,3,127
486566353,63987.883,140.49109,53,120941,2837,65536,0,3,127
487567384,64132.19,140.49913,53,121189,5666,65536,0,3,127
488568345,64281.242,140.51753,53,121435,3492,65536,0,3,127
489569352,64427.297,140.52931,53,121683,4811,65536,0,3,127
490570355,64576.0,140.54678,53,121929,3484,65536,0,3,127
491571353,64720.965,140.55608,53,122177,5678,65536,0,3,127
