timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
896269796,-0.028720962,-0.1366218,0.46006072
896289798,-0.019800847,-0.15158011,0.4661005
896309797,-0.022774218,-0.15008427,0.45553085
896329777,-0.028720962,-0.14559679,0.4630806
896349787,-0.028720962,-0.14559679,0.4630806
896369793,-0.019800847,-0.14559679,0.45704082
896389798,-0.019800847,-0.14559679,0.45704082
896409796,-0.028720962,-0.1560676,0.4661005
896429794,-0.015340789,-0.15008427,0.46006072
896449794,-0.015340789,-0.15008427,0.46006072
896469794,-0.027234277,-0.14410095,0.45553085
896489795,-0.027234277,-0.14410095,0.45553085
896509794,-0.028720962,-0.14260514,0.45704082
896529796,-0.03169433,-0.14260514,0.45704082
896549777,-0.03169433,-0.14260514,0.45704082
896569793,-0.028720962,-0.15158011,0.451001
896589872,-0.028720962,-0.15307592,0.4630806
896609796,-0.028720962,-0.15008427,0.4630806
896629796,-0.028720962,-0.15008427,0.4630806
896649779,-0.02574759,-0.15008427,0.4479811
896669793,-0.02574759,-0.15008427,0.4721403
896689793,-0.02574759,-0.15008427,0.4721403
896709795,-0.019800847,-0.15008427,0.4630806
896729797,-0.019800847,-0.15008427,0.4630806
896749795,-0.028720962,-0.15008427,0.451001
896769777,-0.022774218,-0.15008427,0.46459055
896789794,-0.028720962,-0.15158011,0.46006072
896809853,-0.028720962,-0.15158011,0.46006072
896829796,-0.021287533,-0.14260514,0.4661005
896849795,-0.034667704,-0.14410095,0.45251095
896869779,-0.034667704,-0.14410095,0.45251095
896889794,-0.019800847,-0.14709263,0.46459055
896909793,-0.030207647,-0.14709263,0.4721403
896929797,-0.028720962,-0.14260514,0.4661005
896949796,-0.028720962,-0.14260514,0.4661005
896969837,-0.042101134,-0.14559679,0.4540209
896989777,-0.04656119,-0.13213432,0.4630806
897009796,-0.04656119,-0.13213432,0.4630806
897029850,-0.030207647,-0.13811764,0.4630806
897049796,-0.028720962,-0.14559679,0.47969007
897069796,-0.022774218,-0.13811764,0.45855075
897089780,-0.022774218,-0.13811764,0.45855075
897109794,-0.04061445,-0.12914267,0.46761045
897129793,-0.027234277,-0.112688564,0.47365028
897149797,-0.027234277,-0.112688564,0.47365028
897169796,-0.028720962,-0.11418437,0.4630806
897189798,-0.028720962,-0.11418437,0.48120004
897209779,-0.028720962,-0.11418437,0.48120004
897229813,-0.028720962,-0.10072194,0.48120004
897249807,-0.028720962,-0.10072194,0.48120004
897269795,-0.037641075,-0.09025113,0.47365028
897289795,-0.037641075,-0.09025113,0.47365028
897309777,-0.028720962,-0.06930954,0.48120004
897329793,-0.03169433,-0.060334563,0.4721403
897349792,-0.03615439,-0.057342917,0.47969007
897369795,-0.03615439,-0.057342917,0.47969007
897389811,-0.03615439,-0.057342917,0.47969007
897409796,-0.028720962,-0.025930507,0.48120004
897429790,-0.03615439,-0.02144305,0.47667018
897449800,-0.037641075,-0.0049889428,0.4781801
897469797,-0.037641075,-0.0049889428,0.4781801
897489796,-0.028720962,0.012961004,0.48120004
897509796,-0.03615439,0.012961004,0.47667018
897529780,-0.03615439,0.012961004,0.47667018
897549793,-0.03615439,0.012961004,0.47667018
897569793,-0.03615439,0.012961004,0.47969007
897589800,-0.03615439,0.026423493,0.47969007
897609798,-0.042101134,0.026423493,0.47667018
897629794,-0.03169433,0.048860896,0.4857299
897649792,-0.03169433,0.048860896,0.4857299
897669793,-0.04656119,0.051852576,0.4661005
897689798,-0.04358782,0.051852576,0.4781801
897709811,-0.04358782,0.06681085,0.4781801
897729795,-0.04656119,0.06681085,0.4721403
897749778,-0.04656119,0.06681085,0.4721403
897769793,-0.042101134,0.07428998,0.4661005
897789825,-0.05399462,0.062323388,0.46459055
897809795,-0.04656119,0.092239924,0.4630806
897829798,-0.04656119,0.092239924,0.4630806
897849778,-0.04358782,0.0787775,0.46761045
897869792,-0.04656119,0.09373576,0.47063035
897889782,-0.04656119,0.09373576,0.47063035
897909796,-0.048047878,0.10271074,0.4630806
897929796,-0.048047878,0.10271074,0.4630806
897949795,-0.05399462,0.11766901,0.44949102
897969778,-0.042101134,0.10271074,0.46006072
897989794,-0.042101134,0.10271074,0.46006072
898009862,-0.048047878,0.11916485,0.44194126
898029794,-0.048047878,0.11916485,0.44194126
898049798,-0.061428048,0.12514815,0.44194126
898069778,-0.061428048,0.12514815,0.44194126
898089793,-0.070348166,0.12963566,0.4343915
898109794,-0.055481307,0.13861063,0.4479811
898129796,-0.055481307,0.13861063,0.4479811
898149795,-0.058454677,0.14010641,0.4374114
898169837,-0.058454677,0.15057722,0.44194126
898189777,-0.058454677,0.1475856,0.43590143
898209794,-0.058454677,0.1475856,0.43590143
898229855,-0.055481307,0.14010641,0.4374114
898249795,-0.052507933,0.14459392,0.4374114
898269796,-0.052507933,0.14459392,0.4374114
898289777,-0.055481307,0.13412312,0.44194126
898309792,-0.05696799,0.13861063,0.43590143
898329793,-0.055481307,0.13861063,0.451001
898349796,-0.055481307,0.13861063,0.451001
898369796,-0.05399462,0.1236523,0.45553085
898389795,-0.06440142,0.12514815,0.4374114
898409778,-0.06440142,0.12514815,0.4374114
898429817,-0.07183485,0.120660685,0.45704082
