timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1161109130,5.081726,0.0,0,0,3,0,0,0,0
1161609067,5.067929,0.0,0,0,3,0,0,0,0
1162109064,5.0712523,0.0,0,0,3,0,0,0,0
1162609092,5.0796113,0.0,0,0,3,0,0,0,0
1163109064,5.0753813,0.0,0,0,3,0,0,0,0
1163609064,5.1056943,0.0,0,0,3,0,0,0,0
1164109064,5.067224,0.0,0,0,3,0,0,0,0
1164609100,5.0732665,0.0,0,0,3,0,0,0,0
1165109065,5.065411,0.0,0,0,3,0,0,0,0
1165609080,5.080115,0.0,0,0,3,0,0,0,0
1166109065,5.108011,0.0,0,0,3,0,0,0,0
1166609065,5.075784,0.0,0,0,3,0,0,0,0
1167109065,5.065512,0.0,0,0,3,0,0,0,0
1167609067,5.078604,0.0,0,0,3,0,0,0,0
1168109065,5.079712,0.0,0,0,3,0,0,0,0
1168609066,5.0643034,0.0,0,0,3,0,0,0,0
1169109072,5.0669217,0.0,0,0,3,0,0,0,0
1169609089,5.0106263,0.0,0,0,3,0,0,0,0
1170109064,5.075885,0.0,0,0,3,0,0,0,0
1170609064,5.0687346,0.0,0,0,3,0,0,0,0
1171109064,5.0749784,0.0,0,0,3,0,0,0,0
1171609066,5.078906,0.0,0,0,3,0,0,0,0
1172109065,5.040436,0.0,0,0,3,0,0,0,0
1172609066,5.0763884,0.0,0,0,3,0,0,0,0
1173109338,5.0674253,0.0,0,0,3,0,0,0,0
1173609162,5.068231,0.0,0,0,3,0,0,0,0
1174109064,5.0728636,0.0,0,0,3,0,0,0,0
1174609069,5.0647063,0.0,0,0,3,0,0,0,0
1175109064,5.062289,0.0,0,0,3,0,0,0,0
1175609069,5.033789,0.0,0,0,3,0,0,0,0
1176109065,5.0740724,0.0,0,0,3,0,0,0,0
1176609114,5.0736694,0.0,0,0,3,0,0,0,0
1177109064,5.0673246,0.0,0,0,3,0,0,0,0
1177609067,5.0603757,0.0,0,0,3,0,0,0,0
1178109064,5.095221,0.0,0,0,3,0,0,0,0
1178609066,5.056952,0.0,0,0,3,0,0,0,0
1179109065,5.061685,0.0,0,0,3,0,0,0,0
1179609066,5.041644,0.0,0,0,3,0,0,0,0
1180109065,5.0443635,0.0,0,0,3,0,0,0,0
1180609066,5.0556426,0.0,0,0,3,0,0,0,0
1181109067,5.0417447,0.0,0,0,3,0,0,0,0
1181609304,5.046881,0.0,0,0,3,0,0,0,0
1182109064,5.0519166,0.0,0,0,3,0,0,0,0
1182609068,5.0486937,0.0,0,0,3,0,0,0,0
1183109065,5.052319,0.0,0,0,3,0,0,0,0
1183609066,5.0584626,0.0,0,0,3,0,0,0,0
1184109064,5.081122,0.0,0,0,3,0,0,0,0
1184609066,5.067929,0.0,0,0,3,0,0,0,0
1185109169,5.0730653,0.0,0,0,3,0,0,0,0
1185609066,5.074475,0.0,0,0,3,0,0,0,0
1186109067,5.061081,0.0,0,0,3,0,0,0,0
1186609069,5.0770936,0.0,0,0,3,0,0,0,0
1187109064,5.0769925,0.0,0,0,3,0,0,0,0
1187609064,5.115161,0.0,0,0,3,0,0,0,0
1188109066,5.075885,0.0,0,0,3,0,0,0,0
1188609066,5.067627,0.0,0,0,3,0,0,0,0
