timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
53309080,44.742622,44.53126,40.850895,55.164856,0.0,425.91086,0.92902565,1.0,nan,12,3.7109385,3.7109385,3.7109385,3.7109385,3.7109385,3.7109385,3.7109385,3.7109385,3.7109385,3.7109385,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
53609108,44.93855,44.72009,37.319897,47.738804,0.0,429.16235,0.92849165,1.0071225,nan,12,3.726674,3.726674,3.726674,3.726674,3.726674,3.726674,3.726674,3.726674,3.726674,3.726674,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
53909081,45.161232,44.920067,33.640972,42.36094,0.0,432.1473,0.927996,1.01128,nan,12,3.7433388,3.7433388,3.7433388,3.7433388,3.7433388,3.7433388,3.7433388,3.7433388,3.7433388,3.7433388,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
54209154,45.326572,45.077946,30.772434,38.626408,0.0,435.00027,0.9275046,1.013785,nan,12,3.7564955,3.7564955,3.7564955,3.7564955,3.7564955,3.7564955,3.7564955,3.7564955,3.7564955,3.7564955,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
54509079,45.900013,45.269577,24.401844,33.304047,0.0,437.29245,0.92708236,1.018088,nan,12,3.7724648,3.7724648,3.7724648,3.7724648,3.7724648,3.7724648,3.7724648,3.7724648,3.7724648,3.7724648,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
54809107,46.131298,45.477535,21.073442,29.264051,0.0,439.3395,0.9266607,1.0200388,nan,12,3.7897947,3.7897947,3.7897947,3.7897947,3.7897947,3.7897947,3.7897947,3.7897947,3.7897947,3.7897947,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
55109079,46.63593,45.707832,15.661172,24.344193,0.0,440.88928,0.9262885,1.0229188,nan,12,3.808986,3.808986,3.808986,3.808986,3.808986,3.808986,3.808986,3.808986,3.808986,3.808986,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
55409464,46.674156,45.937252,12.204137,19.175785,0.0,441.97363,0.92594194,1.0262327,nan,12,3.8281043,3.8281043,3.8281043,3.8281043,3.8281043,3.8281043,3.8281043,3.8281043,3.8281043,3.8281043,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
55709104,46.605347,46.151573,6.9848185,14.624612,0.0,442.73605,0.9255938,1.0289007,nan,12,3.8459644,3.8459644,3.8459644,3.8459644,3.8459644,3.8459644,3.8459644,3.8459644,3.8459644,3.8459644,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
56009105,46.732456,46.3559,2.759196,10.819778,0.0,443.26154,0.9252416,1.0305921,nan,12,3.8629916,3.8629916,3.8629916,3.8629916,3.8629916,3.8629916,3.8629916,3.8629916,3.8629916,3.8629916,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
56309079,47.581146,46.590176,0.0,7.2040386,0.0,443.50735,0.9249059,1.0313258,nan,12,3.8825147,3.8825147,3.8825147,3.8825147,3.8825147,3.8825147,3.8825147,3.8825147,3.8825147,3.8825147,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
56609153,47.84015,46.911198,0.0,3.9772758,0.0,443.5074,0.92462444,1.0295343,nan,12,3.9092665,3.9092665,3.9092665,3.9092665,3.9092665,3.9092665,3.9092665,3.9092665,3.9092665,3.9092665,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
56909078,47.855442,47.1623,0.0,2.1957386,0.0,443.5074,0.9243934,1.0269426,nan,12,3.9301918,3.9301918,3.9301918,3.9301918,3.9301918,3.9301918,3.9301918,3.9301918,3.9301918,3.9301918,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
57209104,47.756042,47.363144,0.0,1.2122035,0.0,443.5074,0.9242168,1.0241727,nan,12,3.9469287,3.9469287,3.9469287,3.9469287,3.9469287,3.9469287,3.9469287,3.9469287,3.9469287,3.9469287,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
57509077,47.9319,47.513103,0.0,0.66922235,0.0,443.5074,0.92408377,1.0218097,nan,12,3.9594252,3.9594252,3.9594252,3.9594252,3.9594252,3.9594252,3.9594252,3.9594252,3.9594252,3.9594252,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
57809298,47.761784,47.634865,0.0,0.36945826,0.0,443.5074,0.9239854,1.0196753,nan,12,3.969572,3.969572,3.969572,3.969572,3.969572,3.969572,3.969572,3.969572,3.969572,3.969572,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
58109078,48.035122,47.730286,0.0,0.20396718,0.0,443.5074,0.923912,1.0178993,nan,12,3.9775238,3.9775238,3.9775238,3.9775238,3.9775238,3.9775238,3.9775238,3.9775238,3.9775238,3.9775238,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
58409104,47.928078,47.812866,0.0,0.117230386,0.0,443.50812,0.9238594,1.0162783,nan,12,3.9844055,3.9844055,3.9844055,3.9844055,3.9844055,3.9844055,3.9844055,3.9844055,3.9844055,3.9844055,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
58709078,48.06284,47.87676,0.0,0.06471948,0.0,443.50812,0.92382187,1.0150048,nan,12,3.98973,3.98973,3.98973,3.98973,3.98973,3.98973,3.98973,3.98973,3.98973,3.98973,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
59009165,48.039898,47.93969,0.0,0.03572974,0.0,443.50812,0.923796,1.0137179,nan,12,3.9949741,3.9949741,3.9949741,3.9949741,3.9949741,3.9949741,3.9949741,3.9949741,3.9949741,3.9949741,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
59309079,48.383965,47.99076,0.0,0.024760637,0.0,443.50894,0.92377865,1.0126562,nan,12,3.9992301,3.9992301,3.9992301,3.9992301,3.9992301,3.9992301,3.9992301,3.9992301,3.9992301,3.9992301,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
59609109,48.40881,48.040974,0.0,0.013669629,0.0,443.50894,0.9237692,1.0116152,nan,12,4.0034146,4.0034146,4.0034146,4.0034146,4.0034146,4.0034146,4.0034146,4.0034146,4.0034146,4.0034146,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
59909079,48.37823,48.097122,0.0,0.0077197356,0.0,443.50897,0.9237667,1.0104436,nan,12,4.0080934,4.0080934,4.0080934,4.0080934,4.0080934,4.0080934,4.0080934,4.0080934,4.0080934,4.0080934,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
60209429,48.620983,48.1379,0.0,0.0042618415,0.0,443.50897,0.92376834,1.0095929,nan,12,4.011492,4.011492,4.011492,4.011492,4.011492,4.011492,4.011492,4.011492,4.011492,4.011492,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
