timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
319874418,319873859,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319879270,319878747,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319884166,319883636,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319889056,319888523,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319893936,319893412,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319898838,319898299,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319903711,319903187,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319908608,319908076,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319913485,319912963,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319918383,319917852,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319923267,319922739,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319928197,319927630,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319933061,319932515,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319937966,319937409,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319942851,319942291,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319947711,319947180,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319952592,319952067,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319957510,319956955,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319962376,319961843,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319967299,319966731,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319972216,319971619,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319977035,319976507,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319981949,319981394,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319986884,319986283,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319991710,319991175,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319996591,319996059,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320001471,320000947,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320006372,320005835,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320011249,320010723,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320016145,320015611,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320021036,320020507,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320025921,320025387,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320030819,320030275,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320035701,320035163,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320040574,320040052,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320045473,320044939,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320050377,320049828,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320055245,320054716,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320060140,320059603,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320065021,320064491,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320069921,320069378,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320074823,320074267,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320079713,320079156,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320084600,320084043,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320089461,320088931,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320094379,320093820,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320099266,320098707,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320104115,320103595,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320109020,320108483,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320113928,320113371,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320118787,320118259,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320123678,320123147,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320128601,320128036,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320133488,320132936,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320138338,320137812,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320143259,320142699,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320148116,320147587,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320153002,320152475,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320157889,320157363,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320162780,320162251,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320167676,320167142,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
